rank,org,project,full_name,total_stars,monthly_stars_latest,activity_latest,openrank_latest,source,project_type
92,odoo,odoo,odoo/odoo,30394,30394,2259.18,0.0,top100_only,其他
93,ClickHouse,ClickHouse,ClickHouse/ClickHouse,30307,30307,1220.46,0.0,top100_only,实用工具
94,files-community,Files,files-community/Files,30175,30175,405.37,0.0,top100_only,其他
95,coolsnowwolf,lede,coolsnowwolf/lede,30033,30033,245.33,0.0,top100_only,其他
96,laravel,framework,laravel/framework,30027,30027,604.64,0.0,top100_only,后端框架
97,hashicorp,vault,hashicorp/vault,29840,29840,616.69,0.0,top100_only,其他
98,alibaba,nacos,alibaba/nacos,28326,28326,455.08,0.0,top100_only,其他
99,angular,components,angular/components,27558,27558,313.75,0.0,top100_only,其他
100,desktop,desktop,desktop/desktop,27366,27366,383.11,0.0,top100_only,其他
101,ray-project,ray,ray-project/ray,27146,27146,1221.58,0.0,top100_only,其他
102,appsmithorg,appsmith,appsmithorg/appsmith,27053,27053,1015.27,0.0,top100_only,其他
103,cockroachdb,cockroach,cockroachdb/cockroach,27011,27011,1148.48,0.0,top100_only,其他
104,SerenityOS,serenity,SerenityOS/serenity,26637,26637,630.79,0.0,top100_only,其他
105,yuzu-emu,yuzu,yuzu-emu/yuzu,26617,26617,302.84,0.0,top100_only,其他
106,TeamNewPipe,NewPipe,TeamNewPipe/NewPipe,26495,26495,249.07,0.0,top100_only,其他
107,open-mmlab,mmdetection,open-mmlab/mmdetection,25544,25544,387.96,0.0,top100_only,其他
108,nextcloud,server,nextcloud/server,25209,25209,888.62,0.0,top100_only,后端框架
109,bevyengine,bevy,bevyengine/bevy,24641,24641,791.05,0.0,top100_only,其他
110,tachiyomiorg,tachiyomi,tachiyomiorg/tachiyomi,24246,24246,215.73,0.0,top100_only,其他
111,Lightning-AI,lightning,Lightning-AI/lightning,24170,24170,498.86,0.0,top100_only,其他
112,symfony,symfony,symfony/symfony,23742,23742,722.99,0.0,top100_only,其他
113,remix-run,remix,remix-run/remix,23229,23229,453.71,0.0,top100_only,其他
114,openssl,openssl,openssl/openssl,22903,22903,624.39,0.0,top100_only,其他
115,taosdata,TDengine,taosdata/TDengine,22886,22886,396.59,0.0,top100_only,其他
116,envoyproxy,envoy,envoyproxy/envoy,22811,22811,972.93,0.0,top100_only,其他
117,PaddlePaddle,Paddle,PaddlePaddle/Paddle,22697,22697,2155.78,0.0,top100_only,其他
118,ziglang,zig,ziglang/zig,22474,22474,560.28,0.0,top100_only,其他
119,logseq,logseq,logseq/logseq,22368,22368,488.7,0.0,top100_only,其他
120,lensapp,lens,lensapp/lens,22303,22303,271.45,0.0,top100_only,其他
121,directus,directus,directus/directus,22241,22241,377.23,0.0,top100_only,其他
