month,full_name,name,author,description,language,stars_count,forks_count,created_at,updated_at,url,topics,license,open_issues,watchers,rank
,SuperClaude-Org/SuperClaude_Framework,SuperClaude_Framework,SuperClaude-Org,"A configuration framework that enhances Claude Code with specialized commands, cognitive personas, and development methodologies.",python,19925,1724,2025-06-22T12:03:53Z,2026-01-09T12:02:17Z,https://github.com/SuperClaude-Org/SuperClaude_Framework,[],MIT License,53,19925,39
2025-06,winfunc/opcode,opcode,winfunc,"A powerful GUI app and Toolkit for Claude Code - Create custom agents, manage interactive Claude Code sessions, run secure background agents, and more.",TypeScript,19795,1529,2025-06-19T13:53:26Z,2026-01-08T02:01:06Z,https://github.com/winfunc/opcode,"['anthropic', 'anthropic-claude', 'claude', 'claude-4', 'claude-4-opus', 'claude-4-sonnet', 'claude-ai', 'claude-code', 'claude-code-sdk', 'cursor', 'ide', 'llm', 'llm-code', 'rust', 'tauri']",GNU Affero General Public License v3.0,313,19795,40
,hesreallyhim/awesome-claude-code,awesome-claude-code,hesreallyhim,"A curated list of awesome commands, files, and workflows for Claude Code",python,19725,1117,2025-04-19T20:55:59Z,2026-01-09T12:00:27Z,https://github.com/hesreallyhim/awesome-claude-code,"['agentic-code', 'agentic-coding', 'ai-workflow-optimization', 'ai-workflows', 'anthropic', 'anthropic-claude', 'awesome', 'awesome-list', 'awesome-lists', 'awesome-resources', 'claude', 'claude-code', 'coding-agent', 'coding-agents', 'coding-assistant']",Other,52,19725,41
,OpenListTeam/OpenList,OpenList,OpenListTeam,A new AList Fork to Anti Trust Crisis,go,19659,1640,2025-06-11T23:35:02Z,2026-01-09T11:59:30Z,https://github.com/OpenListTeam/OpenList,"['alist', 'aliyunpan', 'baidupan', 'openlist']",GNU Affero General Public License v3.0,175,19659,42
2025-08,PicoTrex/Awesome-Nano-Banana-images,Awesome-Nano-Banana-images,PicoTrex,"A curated collection of fun and creative examples generated with Nano Banana & Nano Banana Pro🍌, Gemini-2.5-flash-image based model. We also release Nano-consistent-150K openly to support the community's development of image generation and unified models(click to website to see our blog)",,19653,2055,2025-08-28T17:03:09Z,2026-01-08T01:57:59Z,https://github.com/PicoTrex/Awesome-Nano-Banana-images,"['awesome', 'gemini-2-5-flash-image', 'nano-banana']",Apache License 2.0,21,19653,43
,openai/gpt-oss,gpt-oss,openai,gpt-oss-120b and gpt-oss-20b are two open-weight language models by OpenAI,python,19568,2014,2025-06-23T16:43:33Z,2026-01-09T11:38:00Z,https://github.com/openai/gpt-oss,[],Apache License 2.0,90,19568,44
,coze-dev/coze-studio,coze-studio,coze-dev,"An AI agent development platform with all-in-one visual tools, simplifying agent creation, debugging, and deployment like never before. Coze your way to AI Agent creation.",TypeScript,19377,2753,2025-06-26T02:19:21Z,2026-01-09T10:55:33Z,https://github.com/coze-dev/coze-studio,"['agent', 'agent-platform', 'ai-plugins', 'chatbot', 'chatbot-framework', 'coze', 'coze-platform', 'generative-ai', 'go', 'kouzi', 'low-code-ai', 'multimodel-ai', 'no-code', 'rag', 'studio', 'typescript', 'workflow']",Apache License 2.0,436,19377,45
2025-04,dyad-sh/dyad,dyad,dyad-sh,"Free, local, open-source AI app builder ✨ v0 / lovable / Bolt alternative 🌟 Star if you like it!",TypeScript,19074,2144,2025-04-11T06:33:48Z,2026-01-08T01:52:17Z,https://github.com/dyad-sh/dyad,"['ai-app-builder', 'anthropic', 'artificial-intelligence', 'bolt', 'deepseek', 'gemini', 'generative-ai', 'github', 'llm', 'llms', 'lovable', 'nextjs', 'ollama', 'openai', 'qwen', 'react', 'typescript', 'v0', 'vercel']",Other,273,19074,46
,nari-labs/dia,dia,nari-labs,A TTS model capable of generating ultra-realistic dialogue in one pass.,python,19026,1659,2025-04-19T07:15:57Z,2026-01-09T10:26:07Z,https://github.com/nari-labs/dia,"['ai', 'open-weight', 'text-to-speech']",Apache License 2.0,90,19026,47
,bytedance/deer-flow,deer-flow,bytedance,"DeerFlow is a community-driven Deep Research framework, combining language models with tools like web search, crawling, and Python execution, while contributing back to the open-source community.",python,19026,2394,2025-05-07T02:50:19Z,2026-01-09T10:55:27Z,https://github.com/bytedance/deer-flow,"['agent', 'agentic', 'agentic-framework', 'agentic-workflow', 'ai', 'ai-agents', 'bytedance', 'deep-research', 'langchain', 'langgraph', 'langmanus', 'llm', 'multi-agent', 'nodejs', 'podcast', 'python', 'typescript']",MIT License,208,19026,48
2025-09,ChromeDevTools/chrome-devtools-mcp,chrome-devtools-mcp,ChromeDevTools,Chrome DevTools for coding agents,TypeScript,19012,1177,2025-09-11T10:39:55Z,2026-01-08T02:04:37Z,https://github.com/ChromeDevTools/chrome-devtools-mcp,"['browser', 'chrome', 'chrome-devtools', 'debugging', 'devtools', 'mcp', 'mcp-server', 'puppeteer']",Apache License 2.0,82,19012,49
2025-06,basecamp/omarchy,omarchy,basecamp,"Beautiful, Modern & Opinionated Linux",Shell,18998,1864,2025-06-01T07:26:22Z,2026-01-08T01:15:25Z,https://github.com/basecamp/omarchy,[],MIT License,515,18998,50
